trial_id,company,drug_class,trial_phase,country_code,aci,patient_count,base_fee_eur,date
183,PharmaScope_BV,Immunology,Phase_IV,DE,D,178,190.7,2023-06-30
184,BioPharm_Corp,Cardiology,Phase_III,FR,D,491,187.43,2024-02-03
185,GlobalClin_KK,Oncology,Phase_II,JP,D,360,374.27,2023-06-28
186,PharmaScope_BV,Rare_Disease,Phase_II,CA,C,215,109.9,2023-05-04
187,BioPharm_Corp,Oncology,Phase_III,US,D,169,231.5,2022-07-02
188,NovaTrial_Ltd,Neurology,Phase_II,JP,B,360,161.89,2023-02-22
189,BioAxis_Pty,Oncology,Phase_I,DE,B,155,103.38,2022-09-19
190,BioAxis_Pty,Immunology,Phase_III,JP,D,452,477.37,2022-11-27
191,PharmaScope_BV,Cardiology,Phase_III,JP,E,62,457.41,2024-01-20
192,BioAxis_Pty,Oncology,Phase_III,BR,A,440,119.82,2023-11-22
193,BioAxis_Pty,Oncology,Phase_II,ES,B,243,195.52,2023-10-28
194,GlobalClin_KK,Neurology,Phase_I,AU,C,256,159.53,2023-02-01
195,ClinPath_AG,Oncology,Phase_I,NL,B,262,192.48,2024-11-17
196,PharmaScope_BV,Neurology,Phase_III,AU,B,192,411.79,2022-04-07
197,CurePath_AB,Rare_Disease,Phase_I,US,A,216,115.7,2023-01-11
198,MedResearch_Inc,Cardiology,Phase_III,CA,C,458,283.04,2022-05-10
199,GlobalClin_KK,Rare_Disease,Phase_I,US,E,325,80.44,2023-01-07
200,CurePath_AB,Immunology,Phase_II,CA,E,467,229.0,2024-11-20
201,TrialBridge_SA,Oncology,Phase_IV,AU,E,76,97.72,2023-02-06
202,TrialBridge_SA,Neurology,Phase_II,CA,A,453,214.05,2024-09-22
203,NovaTrial_Ltd,Neurology,Phase_II,BR,A,383,272.94,2023-06-27
204,PharmaScope_BV,Neurology,Phase_IV,BR,B,309,306.17,2024-02-06
205,BioPharm_Corp,Neurology,Phase_I,CA,B,382,248.59,2023-05-17
206,NovaTrial_Ltd,Cardiology,Phase_II,US,C,232,385.42,2022-10-19
207,TrialBridge_SA,Neurology,Phase_II,DE,D,359,436.01,2024-04-17
208,ClinPath_AG,Immunology,Phase_II,IT,B,373,482.58,2024-11-28
209,MedResearch_Inc,Rare_Disease,Phase_IV,JP,B,198,345.69,2022-10-16
210,MedResearch_Inc,Oncology,Phase_IV,BR,E,266,164.47,2024-05-03
211,PharmaScope_BV,Oncology,Phase_I,ES,A,22,438.48,2022-10-14
212,GlobalClin_KK,Neurology,Phase_IV,BR,C,197,96.26,2024-02-25
213,PharmaScope_BV,Neurology,Phase_I,US,D,117,213.52,2024-05-14
214,CurePath_AB,Rare_Disease,Phase_I,AU,C,254,97.33,2023-05-08
215,PharmaScope_BV,Neurology,Phase_III,CA,B,266,374.44,2024-03-18
216,TriPharm_LLC,Cardiology,Phase_II,US,D,299,131.11,2022-10-26
217,TriPharm_LLC,Rare_Disease,Phase_I,AU,C,106,461.86,2022-03-28
218,PharmaScope_BV,Rare_Disease,Phase_I,JP,C,178,157.97,2022-04-16
219,BioAxis_Pty,Oncology,Phase_III,AU,B,169,408.32,2023-05-05
220,PharmaScope_BV,Rare_Disease,Phase_II,IT,B,30,181.6,2024-09-16
221,CurePath_AB,Cardiology,Phase_II,DE,C,287,159.97,2022-05-20
222,BioAxis_Pty,Cardiology,Phase_II,NL,B,384,131.67,2023-05-15
223,MedResearch_Inc,Oncology,Phase_I,US,A,277,120.78,2024-02-11
224,MedResearch_Inc,Oncology,Phase_IV,FR,E,277,420.73,2022-08-10
225,CurePath_AB,Oncology,Phase_II,IT,B,464,473.72,2024-03-01
226,TrialBridge_SA,Immunology,Phase_IV,DE,C,34,184.54,2022-12-02
227,GlobalClin_KK,Rare_Disease,Phase_III,US,C,261,446.07,2024-06-05
228,GlobalClin_KK,Rare_Disease,Phase_I,NL,B,261,222.29,2023-09-27
229,NovaTrial_Ltd,Neurology,Phase_II,CA,C,451,481.49,2023-08-23
230,ClinPath_AG,Cardiology,Phase_IV,US,E,187,300.73,2022-07-13
231,TriPharm_LLC,Rare_Disease,Phase_I,BR,D,143,210.22,2023-05-23
232,ClinPath_AG,Rare_Disease,Phase_I,BR,D,247,181.87,2024-07-27
233,CurePath_AB,Neurology,Phase_III,ES,C,388,111.51,2022-01-22
234,MedResearch_Inc,Cardiology,Phase_II,IT,D,253,195.99,2024-04-11
235,CurePath_AB,Rare_Disease,Phase_III,US,A,195,121.87,2023-06-25
236,TrialBridge_SA,Cardiology,Phase_IV,JP,B,498,348.22,2024-02-28
237,BioPharm_Corp,Neurology,Phase_III,JP,A,313,282.54,2023-12-28
238,ClinPath_AG,Rare_Disease,Phase_II,IT,B,179,237.33,2023-04-19
239,TriPharm_LLC,Oncology,Phase_IV,US,A,85,291.43,2022-12-05
240,ClinPath_AG,Cardiology,Phase_I,DE,C,29,246.47,2023-11-19
241,ClinPath_AG,Cardiology,Phase_IV,DE,E,362,126.1,2022-06-03
242,NovaTrial_Ltd,Immunology,Phase_I,IT,C,302,141.51,2023-10-03
243,GlobalClin_KK,Oncology,Phase_I,BR,D,12,456.9,2022-04-14
244,CurePath_AB,Oncology,Phase_II,ES,D,157,430.75,2023-12-14
245,TriPharm_LLC,Cardiology,Phase_I,BR,C,144,473.66,2023-11-21
246,CurePath_AB,Cardiology,Phase_IV,ES,B,378,422.27,2022-04-03
247,CurePath_AB,Immunology,Phase_III,DE,B,470,278.6,2024-04-10
248,TriPharm_LLC,Rare_Disease,Phase_I,ES,D,424,247.57,2023-04-01
249,TrialBridge_SA,Neurology,Phase_III,ES,A,80,410.45,2024-05-12
250,CurePath_AB,Cardiology,Phase_I,FR,C,225,218.36,2022-02-15
251,GlobalClin_KK,Immunology,Phase_III,ES,C,457,317.59,2022-07-16
252,NovaTrial_Ltd,Immunology,Phase_IV,US,D,373,163.83,2023-06-26
253,BioPharm_Corp,Oncology,Phase_I,FR,E,265,267.41,2022-07-26
254,BioPharm_Corp,Rare_Disease,Phase_II,AU,E,448,356.96,2022-12-28
255,MedResearch_Inc,Neurology,Phase_III,FR,D,49,229.62,2023-12-26
256,PharmaScope_BV,Immunology,Phase_IV,AU,A,493,289.75,2022-06-08
257,GlobalClin_KK,Oncology,Phase_III,FR,C,446,476.23,2024-01-13
258,TrialBridge_SA,Rare_Disease,Phase_II,NL,E,334,442.16,2022-04-24
259,MedResearch_Inc,Rare_Disease,Phase_I,ES,B,472,313.42,2022-07-12
260,BioAxis_Pty,Rare_Disease,Phase_III,NL,E,458,459.71,2023-10-07
261,CurePath_AB,Neurology,Phase_II,JP,A,340,299.88,2024-05-19
262,ClinPath_AG,Oncology,Phase_IV,NL,D,105,133.72,2022-07-06
263,ClinPath_AG,Neurology,Phase_III,FR,D,151,123.62,2022-11-25
264,TriPharm_LLC,Immunology,Phase_IV,FR,A,144,274.39,2024-10-10
265,TriPharm_LLC,Neurology,Phase_III,AU,C,160,463.53,2024-12-20
266,MedResearch_Inc,Neurology,Phase_I,JP,D,111,124.06,2023-09-29
267,TrialBridge_SA,Cardiology,Phase_I,BR,C,226,425.15,2023-05-05
268,TrialBridge_SA,Immunology,Phase_III,FR,B,341,128.25,2023-01-16
269,GlobalClin_KK,Neurology,Phase_I,JP,E,245,290.32,2023-11-03
270,CurePath_AB,Immunology,Phase_II,ES,E,364,429.18,2023-10-10
271,NovaTrial_Ltd,Oncology,Phase_III,AU,C,434,288.45,2022-11-20
272,TrialBridge_SA,Cardiology,Phase_I,US,C,466,296.14,2022-01-25
273,ClinPath_AG,Rare_Disease,Phase_I,FR,C,466,97.1,2022-06-16
274,BioAxis_Pty,Immunology,Phase_I,JP,A,346,170.56,2024-11-16
275,TrialBridge_SA,Immunology,Phase_II,US,D,154,362.69,2023-04-04
276,BioAxis_Pty,Neurology,Phase_III,BR,D,41,498.38,2023-06-13
277,TriPharm_LLC,Neurology,Phase_II,AU,D,27,362.95,2023-05-27
278,BioAxis_Pty,Immunology,Phase_I,AU,D,420,416.69,2024-05-07
279,CurePath_AB,Immunology,Phase_III,ES,D,255,177.33,2022-03-13
280,CurePath_AB,Neurology,Phase_IV,ES,C,116,172.43,2022-04-01
281,GlobalClin_KK,Rare_Disease,Phase_I,JP,B,169,186.03,2022-10-30
282,MedResearch_Inc,Cardiology,Phase_I,AU,E,320,447.44,2023-06-18
283,MedResearch_Inc,Cardiology,Phase_I,NL,D,310,171.1,2024-01-06
284,MedResearch_Inc,Immunology,Phase_II,NL,D,468,397.67,2023-06-22
285,GlobalClin_KK,Immunology,Phase_I,BR,A,54,185.61,2023-04-29
286,CurePath_AB,Neurology,Phase_III,JP,D,346,148.15,2024-10-24
287,MedResearch_Inc,Rare_Disease,Phase_III,IT,B,483,478.93,2022-06-26
288,TrialBridge_SA,Rare_Disease,Phase_III,NL,B,222,457.13,2023-09-19
289,PharmaScope_BV,Cardiology,Phase_I,ES,E,254,298.18,2023-08-18
290,GlobalClin_KK,Immunology,Phase_II,IT,B,205,169.04,2023-06-03
291,CurePath_AB,Rare_Disease,Phase_III,AU,E,92,108.0,2024-06-04
292,PharmaScope_BV,Rare_Disease,Phase_III,JP,A,25,213.37,2022-10-20
293,MedResearch_Inc,Neurology,Phase_IV,ES,A,307,286.53,2024-11-11
294,ClinPath_AG,Immunology,Phase_I,AU,D,384,230.07,2022-12-30
295,PharmaScope_BV,Immunology,Phase_IV,JP,D,462,341.45,2023-08-21
296,PharmaScope_BV,Rare_Disease,Phase_II,BR,E,25,98.79,2023-07-25
297,NovaTrial_Ltd,Cardiology,Phase_II,US,E,367,84.9,2024-07-20
298,TriPharm_LLC,Oncology,Phase_IV,BR,C,458,315.51,2023-04-27
299,CurePath_AB,Immunology,Phase_II,CA,D,446,137.27,2022-11-08
300,ClinPath_AG,Immunology,Phase_IV,AU,C,242,240.28,2022-01-24
301,TriPharm_LLC,Rare_Disease,Phase_III,IT,A,20,131.11,2023-02-03
302,ClinPath_AG,Oncology,Phase_II,FR,A,15,386.79,2024-06-24
303,PharmaScope_BV,Oncology,Phase_II,IT,B,108,477.74,2022-01-11
304,NovaTrial_Ltd,Neurology,Phase_IV,AU,E,279,330.71,2024-09-09
305,GlobalClin_KK,Immunology,Phase_IV,CA,A,413,326.17,2023-08-18
306,PharmaScope_BV,Rare_Disease,Phase_IV,US,E,192,316.8,2022-06-03
307,ClinPath_AG,Immunology,Phase_IV,DE,B,61,133.55,2022-11-28
308,ClinPath_AG,Immunology,Phase_II,ES,C,290,347.33,2023-08-31
309,TriPharm_LLC,Cardiology,Phase_IV,FR,D,160,154.46,2022-12-12
310,GlobalClin_KK,Neurology,Phase_IV,ES,D,25,468.67,2022-04-29
311,NovaTrial_Ltd,Oncology,Phase_IV,BR,A,244,188.35,2023-12-31
312,NovaTrial_Ltd,Immunology,Phase_II,CA,D,328,492.83,2024-01-07
313,BioPharm_Corp,Oncology,Phase_III,DE,D,50,213.51,2022-05-11
314,ClinPath_AG,Oncology,Phase_IV,IT,A,249,225.07,2022-11-05
315,BioAxis_Pty,Oncology,Phase_II,US,E,269,214.08,2022-09-25
316,BioPharm_Corp,Rare_Disease,Phase_III,AU,C,344,298.18,2023-12-24
317,ClinPath_AG,Oncology,Phase_IV,ES,D,251,305.73,2024-03-11
318,BioPharm_Corp,Cardiology,Phase_I,BR,B,63,211.28,2024-03-07
319,GlobalClin_KK,Rare_Disease,Phase_III,BR,D,187,398.16,2024-10-25
320,CurePath_AB,Oncology,Phase_I,AU,D,491,161.93,2024-04-22
321,TrialBridge_SA,Neurology,Phase_IV,ES,A,456,151.03,2022-12-18
322,TriPharm_LLC,Oncology,Phase_II,IT,A,201,449.7,2022-04-29
323,GlobalClin_KK,Neurology,Phase_III,ES,D,338,144.66,2023-11-05
324,BioAxis_Pty,Rare_Disease,Phase_I,AU,D,342,55.58,2024-09-30
325,MedResearch_Inc,Cardiology,Phase_I,DE,B,340,419.77,2024-12-04
326,CurePath_AB,Neurology,Phase_IV,US,C,47,64.45,2022-09-10
327,GlobalClin_KK,Rare_Disease,Phase_IV,DE,D,150,214.1,2022-09-17
328,BioPharm_Corp,Neurology,Phase_II,FR,E,269,309.4,2022-02-11
329,BioPharm_Corp,Rare_Disease,Phase_III,DE,A,214,360.16,2022-06-04
330,CurePath_AB,Cardiology,Phase_I,DE,D,32,228.01,2023-09-01
331,ClinPath_AG,Cardiology,Phase_I,BR,C,286,348.58,2023-08-23
332,PharmaScope_BV,Oncology,Phase_III,DE,D,257,320.76,2023-02-11
333,BioAxis_Pty,Cardiology,Phase_I,BR,A,242,498.31,2022-12-06
334,BioAxis_Pty,Oncology,Phase_III,DE,A,302,428.16,2024-06-28
